docID,review,defined sentiment
doc1,everi movi come truli make impact joaquin perform scenographi brillianc grotesqu haunt cringi hard watch time mesmer wont blink eye watch tragic serious funni moment emot rollercoast sometim multipl emot poppingup timethi far typic actionriddl predict superhero movi proper psycholog thrillerdrama singl best charact develop ever seen, positive
doc2,movi felt alon isol truli relat understand motiv feel sorri charact lot peopl see movi think encourag violenc truli movi encourag everi one u becom better person treat everyon respect make feel like belong world instead make feel isol, positive
doc3,truli masterpiec best hollywood film 2019 one best film decad truli best film bring comic book chillingli realist real ife remark direct cinematographi music act peopl surpris find disturb violent necess messag societi reflect underappreciatedunrecognizedbulli peopl prove someth way show class differ corrupt rich talent rule other around exagger that make differ believ could multipl joker live societi could shake around much bitter way film show make peopl uncomfort peopl consid wake call messag first film perfect film, positive
doc4,time movi anticip like end fall short way short joker first time happi hype plea ignor complaint pernici violenc embarrass say least havent seen comic movi real ever deserv better class crimin phillip phoenix deliv dark joker dark fall love villain bad guy alway romant anyway, positive
doc5,joaquin phoenix give tour de forc perform fearless stun emot depth physic imposs talk without referenc heath ledger oscarwin perform dark knight wide consid definit liveact portray joker let talk fact everyon go stun phoenix accomplish mani thought imposs portray match potenti exce dark knight clown princ crime, positive
doc6,let start say joaquin phoneix doesnt get oscar movi oscar cancel phoneix amaz mightv heard everi review ever todd phillip best stori line take visual breathtak score omg score everi time score came felt uncomfort like someth horribl happen great inspir taxi driver king comedi add much movi got honest scene violent disturb honestli expect wayyyi violent controversi go overal movi great come oscar season need nomin best pictur screenplay cinematographi actor score director, positive
doc7,get peopl hate polit messag peopl think need get empathi arthur mad come point never enjoy masterpiec joaquin phoenix todd phillip overdid movi actingmus cinematographi amaz plea enjoy movi without overthink, positive
doc8,seen joker yesterday venic earli illfat screen troubl audio lead nearhour delay definit worth itjok deserv present venic film festiv event regard cinema form art film far blockbust mere entertain movi film genr areit focus psych main charact slowli crumbl pressur societi thu joaquin phoenix wonder perform earn almost sure nomin oscar least take joker differ ledger id say equal good main differ might ledger joker ration act insan phoenix insan rootdespit movi superhero villain joker much superior movi genr id exclud dark knight trilog joker easili good nolan movi least close smallscal film distinct style cinematographi cannot appreci set cinephil refer howev feel forc overli opress notabl similar scorses taxi driver king comedi also chaplin modern time somewhat referencedi eager see noncomed effort todd phillip movi far probabl best 2019 worst contest far dolor gloria upon time hollywood convinc, positive
doc9,sad joaquin miss oscar gladiat compel villain quit confid win joker damn movi keep u toe time unpredict storylin realli deep interest plot forget mention act damn niro joaquin teach u realli 5 star act enjoy movi get wine hand close curtain turn ur cellphon put disturb sign ur door best dark thriller suspens movi get experi, positive
doc10,movi answer questionwhat joker real life charact great deep move stori life journey man who suffer psycholog issu neglect bulli rude human push man complet madnessalthough accur comic book adapt tv seri movi yet fresh uniqu take charact clown princ crime realist approach believ joaquin phoenix amaz perform joker manag bring real life lookalik earli version joker although comic book accur feel decent foundat joker 2 true heart origin version lovabl villainth movi great piec filmmak aspect plot interest believ mani relat act impress splendid direct outstand main take movi lack posit lead charact know live tough world full neg posit exampl shed light one two charact movi wouldv nice posit thoughtth joker movi misunderstood mani think itll inspir crime violenc believ contrari mani go hard life feel sympathi joker charact other even relat miseri may justifi action believ movi meant wake call mani lot peopl daili suffer bulli racism hate crime neglect sometim go wors take deeper look action know asid money author equal human treat one anoth way expect treat, positive
